NOSO,yellow,2019-11-11 19:34:29,Artificial intelligence,direct,,,,,,,,,,,,,
CVVU,yellow,2019-11-11 19:34:32,Computer Architecture,searchbox,,,,,,,,,,,,,
NOSO,yellow,2019-11-11 19:34:34,Machine learning,similar,,,,,,,,,,,,,
LKLR,green,2019-11-11 19:34:34,cloud computing,searchbox,,,,,,,,,,,,,
CVVU,yellow,2019-11-11 19:34:35,Computer Architecture,searchbox,,,,,,,,,,,,,
OH12,red,2019-11-11 19:34:37,Pattern recognition,details,,,,,,,,,,,,,
OAEG,blue,2019-11-11 19:34:40,Data science,remove,,,,,,,,,,,,,
OAEG,blue,2019-11-11 19:34:41,Data management,remove,,,,,,,,,,,,,
ROGI,blue,2019-11-11 19:34:46,artifical intelligence,searchbox,,,,,,,,,,,,,
2H6O,red,2019-11-11 19:34:51,math,searchbox,,,,,,,,,,,,,
NOSO,yellow,2019-11-11 19:34:52,Data mining,details,,,,,,,,,,,,,
ZCNM,yellow,2019-11-11 19:34:53,Health informatics,direct,,,,,,,,,,,,,
2H6O,red,2019-11-11 19:34:58,language,searchbox,,,,,,,,,,,,,
